ID,Name,Employer,Salary From,Salary To,City,URL
112867111,Копирайтер,Ботхаб,30000,,Красноярск,https://hh.ru/vacancy/112867111
114186183,Бизнес-ассистент,StudyWorld,150000,,Санкт-Петербург,https://hh.ru/vacancy/114186183
108873679,Технический писатель,СБЕР,,,Москва,https://hh.ru/vacancy/108873679
115137125,Java-разработчик (КОС Штаба БСП),Datanomica,,250000,Москва,https://hh.ru/vacancy/115137125
114184012,Контентмейкер ИИ / Промт - инженер,PRO-Здоровье,70000,,Москва,https://hh.ru/vacancy/114184012
115066624,Менеджер по продажам,Республика Цвета,70000,120000,Киров (Кировская область),https://hh.ru/vacancy/115066624
115041551,Product Manager,Travelata.ru (ООО Травелата),,,Москва,https://hh.ru/vacancy/115041551
114691266,Ассистент отдела аккаунтинга,ГПМ Партнер,,,Москва,https://hh.ru/vacancy/114691266
115105246,Ведущий системный администратор,ГАСЗНАК,,,Москва,https://hh.ru/vacancy/115105246
113848446,Аналитик данных,High Sky,,,Москва,https://hh.ru/vacancy/113848446
114066619,Клиент-менеджер,Ingate,70000,,Тула,https://hh.ru/vacancy/114066619
